name,ingredients,instructions,skill,duration
Stuffed courgette flowers with a foamy wine sauce,18,3,advanced,medium
Roasted baby cauliflower,5,4,easy,medium
Crispbread with a honey dip,12,3,easy,medium
"Red potato, cabbage, parsley and crème fraîche mash",7,2,easy,fast
Beetroot tarte tatin,14,3,moderate,medium
Schlorzifladen (creamy pear flan),15,5,moderate,medium
"Roast pork with parsley root, apple and cumin",18,5,moderate,medium
Monkfish with a tomato and tonka bean confit,14,3,moderate,medium
Chicken lollies,7,2,moderate,medium
Tomato crème brûlée with basil sorbet,18,5,moderate,medium
Dim sum rice balls,12,6,moderate,complex
"Basil, Parmesan and garlic mash",5,2,easy,fast
Spinach flan with walnuts and pears,16,4,moderate,medium
Elderberry syrup,2,3,moderate,medium
Cheesecake,15,3,advanced,medium
Fennel bulb and seed mash,8,2,easy,fast
"Basil, walnut and olive oil mash",7,3,easy,fast
Lukewarm Mediterranean salad,16,4,easy,fast
Vacuisine fillet of beef with grilled onion and pea purée,9,3,moderate,medium
Wraps with a chicken filling,14,4,moderate,medium
Green tea and cherry traybake,14,3,easy,medium
"Parsnip, lemon and thyme mash",9,2,easy,fast
Rice-Stuffed Lotus Root with Honey,6,2,moderate,medium
Mini berry spring rolls with coconut crème,10,4,easy,medium
Blancmange with mango,9,4,moderate,medium
Preserved spicy pumpkin,7,4,moderate,medium
Pumpkin pie,15,4,moderate,medium
Baked pumpkin slices,10,4,easy,medium
Foam cake with fruits of the forest,11,3,moderate,fast
Quinoa stuffed sweet peppers,13,4,easy,medium
Stracciatella cake in a glass jar,9,2,easy,medium
Curried lentils with peanuts and bacon,11,3,easy,fast
Asian salmon confit with rapeseed oil foam and avocado and potato mash,19,4,advanced,medium
Cream of carrot soup,10,2,moderate,medium
Pork Loin with Macadamia Nuts,16,4,moderate,medium
Zucchini tarte Tatin,8,4,easy,medium
Strawberry sandwich,17,5,moderate,medium
Honey pears with vanilla cream,8,5,easy,medium
Chocolate Mud Cake,12,3,easy,medium
Moussaka,30,5,advanced,medium
"Sweet potato, bourbon, bacon and butter mash",9,3,easy,fast
Fillet of beef,7,3,easy,complex
Banana cake with panna cotta and butterscotch sauce,16,5,moderate,medium
"Pineapple with coconut caramel, raspberries and vanilla ice cream",7,3,moderate,medium
Polenta pizza,14,4,easy,medium
One-hour egg with cauliflower espuma,10,5,moderate,medium
Beetroot zander with lime fennel,13,5,advanced,medium
Chicken buns,22,7,moderate,complex
"Pumpkin, buttermilk and thyme mash",8,2,easy,fast
Vegetable rice with smoked fish,10,4,easy,fast
Spanakopita,14,5,moderate,complex
Scamorza and chive mash,4,2,easy,fast
Strawberry syrup,4,2,moderate,medium
"Summer salad with marinated watermelon, roasted cherry tomatoes, feta, cucumber and bilberries",14,3,easy,medium
Thai fish skewers with rice noodle salad,20,3,moderate,medium
Chicken legs with Riesling and raisins,11,3,moderate,medium
Vanilla braised veal cheeks,14,3,easy,medium
"Curly kale, spring onion and horseradish mash",7,2,easy,fast
Spicy biscuits,13,1,moderate,medium
Char with sea buckthorn sauce,17,5,moderate,medium
"Chocolate, pear and ginger soufflé",9,4,moderate,medium
"Corn, crème fraîche and chipotle mash",6,2,easy,fast
Profiteroles with a sweetcorn crème filling and chorizo,15,3,moderate,medium
Lime blossom semolina strudel with mandarin sauce,14,4,moderate,medium
Sage and nut butter mash,6,2,easy,medium
Turkey rolls with dried fruit,14,4,moderate,fast
"Red potato, lemon, crème fraîche and chive mash",7,2,easy,fast
"Sirloin of lamb with an olive, raisin and nut crust",10,4,moderate,medium
Mostarda di frutta,4,3,moderate,medium
Chestnut soup with Mostbröckli and black walnut,8,3,easy,fast
Tikka masala with naan lid,28,4,moderate,medium
Marinated spare ribs,17,4,easy,complex
Chestnut cupcakes with an elderberry topping,11,4,moderate,medium
Rib eye of beef on the rotisserie spit served with nectarine chutney,16,5,moderate,complex
Roasted baby cauliflowers with polonaise and Venere risotto,11,6,moderate,medium
"Sweet potato, thyme, maple and pecan nut mash",8,2,easy,medium
Cannelés,9,3,easy,complex
Beetroot grissini,9,3,moderate,medium
ANZAC Biscuits,9,3,easy,medium
Pear traybake,11,4,moderate,medium
Mug cakes with white chocolate and dried apricots,10,2,easy,medium
Peking Duck,14,2,moderate,medium
Thyme and nut butter mash,6,2,easy,medium
Chocolate cake with crown of pears,12,4,moderate,medium
"Cauliflower, buttermilk and cheese mash",10,2,easy,fast
Bacon and horseradish mash,5,2,easy,fast
Sweet potatoes baked in aluminium foil and served with ham and sour cream sauce,10,3,easy,medium
Moroccan carrot salad with beluga lentils,16,2,easy,fast
Ring cake with white chocolate and sesame seed crunch,13,4,easy,medium
Grilled goat’s cheese with vegetables,9,4,easy,fast
Spinach and feta cheese mash,8,2,easy,fast
Braised oxtail with root vegetables and gremolata,18,4,easy,medium
